rank,name,position,pos_rank,team,age,proj_points,proj_ppg,vorp,value,injury_status,games_total,seasons,key,adp,market,source,status,out,has_market,edge,thin,low_conf,model_value,model_only,expert_rank,expert_adp_rank,expert_tilt,expert_move
31,Tee Higgins,WR,12,CIN,27.0,184.5,12.3,47.7,40,,39,3,tee higgins,38.1,38,yahoo,,False,True,2,False,False,41,41,15.0,15.0,0.0,-1
32,Zay Flowers,WR,13,BAL,25.0,184.6,12.31,47.8,46,Questionable,50,3,zay flowers,25.5,33,yahoo,Q,False,True,13,False,False,41,41,14.0,16.0,9.0,5
33,Javonte Williams,RB,17,DAL,26.0,181.5,12.52,46.2,39,,49,3,javonte williams,35.8,41,yahoo,,False,True,-2,False,False,40,40,16.0,16.0,0.0,-1
34,D'Andre Swift,RB,18,CHI,27.0,182.7,12.6,47.4,39,,49,3,dandre swift,42.4,25,yahoo,,False,True,14,False,False,40,40,20.0,21.0,0.0,-1
35,Sam LaPorta,TE,3,DET,25.0,161.0,10.73,47.4,39,,42,3,sam laporta,92.6,11,yahoo,,False,True,28,False,False,40,40,5.0,5.0,0.0,-1
36,Jalen Hurts,QB,2,PHI,28.0,301.0,19.42,44.8,39,,48,3,jalen hurts,73.9,16,yahoo,,False,True,23,False,False,39,39,5.0,6.0,1.0,0
37,Lamar Jackson,QB,3,BAL,29.0,300.9,19.41,44.7,38,,46,3,lamar jackson,49.2,35,yahoo,,False,True,3,False,False,39,39,2.0,2.0,0.0,-1
38,Travis Etienne,RB,19,JAX,27.0,181.2,12.5,45.9,38,,49,3,travis etienne,40.1,34,yahoo,,False,True,4,False,False,39,39,21.0,19.0,0.0,-1
39,Brian Thomas Jr.,WR,14,JAX,23.0,182.0,12.13,45.2,37,,31,2,brian thomas,69.4,7,yahoo,,False,True,30,False,False,39,39,37.0,32.0,-3.0,-2
40,Drake Maye,QB,4,NE,23.0,301.5,19.45,45.3,39,,30,2,drake maye,46.1,24,yahoo,,False,True,15,False,False,39,39,3.0,4.0,1.0,0
41,George Kittle,TE,4,SF,32.0,156.8,10.45,43.2,7,PUP,42,3,george kittle,112.6,7,yahoo,PUP-P,True,True,0,False,True,38,7,8.0,9.0,0.0,0
42,Jameson Williams,WR,15,DET,25.0,180.4,12.03,43.6,36,,44,3,jameson williams,41.5,16,yahoo,,False,True,20,False,False,38,38,30.0,27.0,-2.0,-2
43,Tucker Kraft,TE,5,GB,25.0,156.8,10.45,43.2,37,Questionable,39,3,tucker kraft,103.8,15,yahoo,Q,False,True,22,False,False,38,38,7.0,6.0,-1.0,-1
44,Brock Purdy,QB,5,SF,26.0,297.8,19.21,41.6,36,,40,3,brock purdy,68.2,3,yahoo,,False,True,33,False,False,37,37,12.0,12.0,0.0,-1
45,TreVeyon Henderson,RB,20,NE,23.0,178.1,12.28,42.8,28,,17,1,treveyon henderson,57.2,21,yahoo,,False,True,7,True,False,37,37,30.0,24.0,-14.0,-9
46,A.J. Brown,WR,16,PHI,29.0,177.9,11.86,41.1,35,,45,3,aj brown,19.2,50,yahoo,,False,True,-15,False,False,36,36,8.0,8.0,0.0,-1
47,Garrett Wilson,WR,17,NYJ,26.0,176.0,11.73,39.2,37,,41,3,garrett wilson,30.9,29,yahoo,,False,True,8,False,False,35,35,17.0,21.0,5.0,2
48,Justin Jefferson,WR,18,MIN,27.0,175.2,11.68,38.4,37,,44,3,justin jefferson,15.4,74,yahoo,,False,True,-37,False,False,35,35,5.0,6.0,5.0,2
49,Ladd McConkey,WR,19,LAC,24.0,172.2,11.48,35.4,34,,32,2,ladd mcconkey,45.7,29,yahoo,,False,True,5,False,False,33,33,16.0,17.0,2.0,1
50,Jayden Daniels,QB,6,WAS,25.0,290.2,18.72,34.0,35,,24,2,jayden daniels,68.4,17,yahoo,,False,True,18,True,False,32,32,4.0,5.0,6.0,3
51,Kenneth Walker III,RB,21,SEA,27.0,169.5,11.69,34.2,34,,43,3,kenneth walker,26.9,64,yahoo,,False,True,-30,False,False,32,32,9.0,11.0,4.0,2
52,Jordan Addison,WR,20,MIN,24.0,170.0,11.33,33.2,31,Questionable,46,3,jordan addison,91.3,2,yahoo,Q,False,True,29,False,False,31,31,,,0.0,0
53,Tetairoa McMillan,WR,21,CAR,23.0,170.1,11.34,33.3,34,,17,1,tetairoa mcmillan,36.6,35,yahoo,,False,True,-1,True,False,31,35,24.0,23.0,0.0,-1
54,Bo Nix,QB,7,DEN,26.0,287.5,18.55,31.3,31,,34,2,bo nix,119.5,3,yahoo,,False,True,28,False,False,30,30,13.0,15.0,2.0,1
55,J.K. Dobbins,RB,22,DEN,27.0,167.2,11.53,31.9,30,Questionable,24,3,jk dobbins,85.0,6,yahoo,,False,True,24,True,False,30,30,27.0,28.0,0.0,0
56,Quentin Johnston,WR,22,LAC,24.0,168.9,11.26,32.1,30,,45,3,quentin johnston,80.7,3,yahoo,,False,True,27,False,False,30,30,39.0,41.0,1.0,0
57,Kyle Pitts,TE,6,ATL,25.0,143.4,9.56,29.8,27,,51,3,kyle pitts,82.2,9,yahoo,,False,True,18,False,False,29,29,9.0,7.0,-3.0,-2
58,Zach Charbonnet,RB,23,SEA,25.0,165.0,11.38,29.7,5,PUP,49,3,zach charbonnet,134.8,5,yahoo,PUP-P,True,True,0,False,True,29,5,,,0.0,0
59,Tyreek Hill,WR,23,MIA,31.0,164.1,10.94,27.3,1,Questionable,37,3,tyreek hill,,1,curve,,False,False,0,False,True,27,1,,,0.0,0
60,Harold Fannin Jr.,TE,7,CLE,22.0,141.3,9.42,27.7,28,,16,1,harold fannin,85.6,10,yahoo,,False,True,18,True,False,27,27,6.0,8.0,2.0,1
61,RJ Harvey,RB,24,DEN,25.0,163.1,11.25,27.8,26,,17,1,rj harvey,89.5,7,yahoo,,False,True,19,True,False,27,27,36.0,32.0,-1.0,-1
62,Davante Adams,WR,24,LA,33.0,164.1,10.94,27.3,27,,45,3,davante adams,39.7,25,yahoo,,False,True,2,False,False,27,27,25.0,25.0,0.0,0
63,Derrick Henry,RB,25,BAL,32.0,161.5,11.14,26.2,26,,51,3,derrick henry,9.8,61,yahoo,,False,True,-35,False,False,26,26,12.0,12.0,0.0,0
64,Emeka Egbuka,WR,25,TB,23.0,160.8,10.72,24.0,27,Questionable,17,1,emeka egbuka,32.0,28,yahoo,Q,False,True,-1,True,False,25,28,20.0,18.0,-1.0,-1
65,Jaylen Warren,RB,26,PIT,27.0,159.5,11.0,24.2,26,,48,3,jaylen warren,78.1,11,yahoo,,False,True,15,False,False,25,25,26.0,27.0,2.0,1
66,DeVonta Smith,WR,26,PHI,27.0,161.5,10.77,24.7,25,Questionable,46,3,devonta smith,31.3,44,yahoo,Q,False,True,-19,False,False,25,25,12.0,14.0,0.0,0
67,Tyler Warren,TE,8,IND,24.0,136.2,9.08,22.6,26,,17,1,tyler warren,72.4,26,yahoo,,False,True,0,True,False,24,26,4.0,4.0,0.0,0
68,Marvin Harrison Jr.,WR,27,ARI,24.0,159.0,10.6,22.2,23,,29,2,marvin harrison,62.1,9,yahoo,,False,True,14,False,False,23,23,33.0,33.0,0.0,0
69,Wan'Dale Robinson,WR,28,NYG,25.0,159.0,10.6,22.2,23,,48,3,wandale robinson,78.6,21,curve,,False,True,2,False,False,23,23,43.0,47.0,0.0,0
70,Colston Loveland,TE,9,CHI,22.0,133.5,8.9,19.9,34,,16,1,colston loveland,67.5,35,yahoo,,False,True,-1,True,False,22,35,3.0,3.0,0.0,-1
71,DK Metcalf,WR,29,PIT,28.0,156.9,10.46,20.1,19,Questionable,46,3,dk metcalf,63.1,6,yahoo,Q,False,True,13,False,False,22,22,42.0,34.0,-5.0,-3
72,Trevor Lawrence,QB,8,JAX,26.0,276.1,17.81,19.9,22,,43,3,trevor lawrence,87.6,7,yahoo,,False,True,15,False,False,22,22,9.0,10.0,0.0,0
73,Rome Odunze,WR,30,CHI,24.0,154.6,10.31,17.8,17,,29,2,rome odunze,44.4,13,yahoo,,False,True,4,False,False,20,20,28.0,26.0,-5.0,-3
74,Tyrone Tracy Jr.,RB,27,NYG,26.0,153.7,10.6,18.4,20,,32,2,tyrone tracy,160.2,2,yahoo,,False,True,18,False,False,20,20,,,0.0,0
75,Joe Burrow,QB,9,CIN,29.0,272.6,17.59,16.4,14,,35,3,joe burrow,58.6,23,yahoo,,False,True,-9,False,False,19,19,6.0,3.0,-8.0,-5
76,Rhamondre Stevenson,RB,28,NE,28.0,151.4,10.44,16.1,19,,41,3,rhamondre stevenson,73.3,9,yahoo,,False,True,10,False,False,19,19,28.0,29.0,0.0,0
77,Alec Pierce,WR,31,IND,26.0,154.0,10.27,17.2,9,PUP,48,3,alec pierce,47.8,9,yahoo,PUP-P,True,True,0,False,True,19,9,,,0.0,0
78,Courtland Sutton,WR,32,DEN,30.0,152.8,10.19,16.0,17,,49,3,courtland sutton,52.5,5,yahoo,,False,True,12,False,False,18,18,40.0,35.0,-2.0,-1
79,Rico Dowdle,RB,29,CAR,28.0,151.1,10.42,15.8,17,,49,3,rico dowdle,64.2,9,yahoo,,False,True,8,False,False,18,18,34.0,30.0,-1.0,-1
80,Terry McLaurin,WR,33,WAS,30.0,152.7,10.18,15.9,20,,44,3,terry mclaurin,42.4,23,yahoo,,False,True,-3,False,False,18,18,21.0,22.0,3.0,2
81,Jayden Reed,WR,34,GB,26.0,151.8,10.12,15.0,18,,38,3,jayden reed,92.6,2,yahoo,,False,True,16,False,False,18,18,,,0.0,0
82,Patrick Mahomes,QB,10,KC,30.0,271.7,17.53,15.5,18,Questionable,46,3,patrick mahomes,98.5,6,yahoo,Q,False,True,12,False,False,18,18,17.0,16.0,0.0,0
83,Jaylen Waddle,WR,35,MIA,27.0,151.0,10.07,14.2,17,Questionable,45,3,jaylen waddle,51.8,28,yahoo,Q,False,True,-11,False,False,17,17,19.0,20.0,1.0,0
84,Dallas Goedert,TE,10,PHI,31.0,127.5,8.5,13.9,17,,39,3,dallas goedert,102.4,3,yahoo,,False,True,14,False,False,17,17,10.0,14.0,1.0,0
85,Mike Evans,WR,36,TB,32.0,150.0,10.0,13.2,13,Questionable,39,3,mike evans,57.9,16,yahoo,Q,False,True,-3,False,False,16,16,22.0,19.0,-4.0,-3
86,Dalton Kincaid,TE,11,BUF,26.0,126.9,8.46,13.3,16,,41,3,dalton kincaid,148.8,3,yahoo,,False,True,13,False,False,16,16,11.0,11.0,0.0,0
87,Parker Washington,WR,37,JAX,24.0,150.3,10.02,13.5,18,,38,3,parker washington,68.7,6,yahoo,,False,True,12,False,False,16,16,27.0,31.0,4.0,2
88,Michael Wilson,WR,38,ARI,26.0,148.5,9.9,11.7,17,,46,3,michael wilson,88.4,4,yahoo,,False,True,13,False,False,15,15,32.0,37.0,3.0,2
89,Chuba Hubbard,RB,30,CAR,27.0,146.9,10.13,11.6,14,,47,3,chuba hubbard,78.2,13,yahoo,,False,True,1,False,False,15,15,33.0,31.0,-1.0,-1
90,Caleb Williams,QB,11,CHI,24.0,268.5,17.32,12.3,15,,34,2,caleb williams,108.0,9,yahoo,,False,True,6,False,False,15,15,10.0,8.0,0.0,0
91,Christian Watson,WR,39,GB,27.0,146.7,9.78,9.9,16,,33,3,christian watson,64.5,14,yahoo,,False,True,2,False,False,13,13,26.0,29.0,5.0,3
92,Woody Marks,RB,31,HOU,25.0,143.7,9.91,8.4,12,,16,1,woody marks,145.3,2,yahoo,,False,True,10,True,False,12,12,,,0.0,0
93,Kyle Monangai,RB,32,CHI,24.0,144.3,9.95,9.0,11,,17,1,kyle monangai,99.6,7,yahoo,,False,True,4,True,False,12,12,42.0,36.0,-1.0,-1
94,Jaxson Dart,QB,12,NYG,23.0,264.9,17.09,8.7,12,,14,1,jaxson dart,93.8,9,yahoo,,False,True,3,True,False,12,12,11.0,11.0,0.0,0
95,Najee Harris,RB,33,LAC,27.0,142.7,9.84,7.4,1,Questionable,37,3,najee harris,,1,curve,,False,False,0,False,True,11,1,,,0.0,0
96,DJ Moore,WR,40,CHI,29.0,143.8,9.59,7.0,10,,51,3,dj moore,48.5,16,yahoo,,False,True,-6,False,False,10,10,29.0,28.0,0.0,0
97,Jake Ferguson,TE,12,DAL,27.0,120.4,8.03,6.8,9,,48,3,jake ferguson,147.3,5,curve,,False,True,4,False,False,10,10,16.0,12.0,-1.0,-1
98,Xavier Worthy,WR,41,KC,23.0,142.8,9.52,6.0,9,Questionable,30,2,xavier worthy,100.9,12,curve,,False,True,-3,False,False,9,9,,,0.0,0
99,Jakobi Meyers,WR,42,JAX,29.0,142.2,9.48,5.4,9,,47,3,jakobi meyers,77.5,22,curve,,False,True,-13,False,False,9,9,,,0.0,0
100,Michael Pittman,WR,43,IND,28.0,142.0,9.47,5.2,11,Questionable,49,3,michael pittman,80.6,3,yahoo,Q,False,True,8,False,False,9,9,36.0,43.0,3.0,2
101,David Montgomery,RB,34,DET,29.0,140.8,9.71,5.5,9,,45,3,david montgomery,64.5,25,yahoo,,False,True,-16,False,False,9,9,19.0,22.0,1.0,0
102,Oronde Gadsden II,TE,13,LAC,23.0,117.9,7.86,4.3,1,,15,1,oronde gadsden,,1,curve,,False,False,0,True,True,8,1,21.0,16.0,0.0,0
103,Tony Pollard,RB,35,TEN,29.0,139.6,9.63,4.3,8,,50,3,tony pollard,66.2,9,yahoo,,False,True,-1,False,False,8,8,31.0,34.0,1.0,0
104,Phil Mafah,RB,36,DAL,23.0,139.9,9.65,4.6,1,,1,1,phil mafah,,1,curve,,False,False,0,True,True,8,1,,,0.0,0
105,Romeo Doubs,WR,44,GB,26.0,141.2,9.41,4.4,9,,46,3,romeo doubs,109.2,11,curve,,False,True,-2,False,False,8,8,41.0,51.0,2.0,1
106,Rachaad White,RB,37,TB,27.0,139.5,9.62,4.2,7,,49,3,rachaad white,105.9,4,yahoo,,False,True,3,False,False,7,7,37.0,40.0,0.0,0
107,James Conner,RB,38,ARI,31.0,139.1,9.59,3.8,7,Questionable,32,3,james conner,147.6,5,curve,,False,True,2,False,False,7,7,,,0.0,0
108,Jacory Croskey-Merritt,RB,39,WAS,25.0,137.0,9.45,1.7,4,,17,1,jacory croskey merritt,109.4,3,yahoo,,False,True,1,True,False,4,4,39.0,37.0,0.0,0
109,Jared Goff,QB,13,DET,31.0,256.5,16.55,0.3,2,,51,3,jared goff,108.8,3,yahoo,,False,True,-1,False,False,2,2,16.0,14.0,0.0,0
110,Jordan Love,QB,14,GB,27.0,256.7,16.56,0.5,2,,47,3,jordan love,150.8,2,yahoo,,False,True,0,False,False,2,2,19.0,19.0,0.0,0
111,Hunter Henry,TE,14,NE,31.0,114.0,7.6,0.4,1,,46,3,hunter henry,161.0,4,curve,,False,True,-3,False,False,2,2,22.0,17.0,-2.0,-1
112,Chris Godwin Jr.,WR,45,TB,30.0,137.0,9.13,0.2,4,,33,3,chris godwin,95.8,5,yahoo,,False,True,-1,False,False,2,2,31.0,36.0,4.0,2
113,Devin Neal,RB,40,NO,23.0,124.3,8.57,-11.0,1,Questionable,9,1,devin neal,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
114,Jayden Higgins,WR,46,HOU,23.0,124.4,8.29,-12.4,7,,17,1,jayden higgins,132.8,7,curve,,False,True,0,True,False,1,7,,,0.0,0
115,Alvin Kamara,RB,41,NO,31.0,125.7,8.67,-9.6,2,,38,3,alvin kamara,144.0,6,curve,,False,True,-4,False,False,1,1,43.0,46.0,2.0,1
116,Zach Ertz,TE,15,WAS,35.0,96.8,6.45,-16.8,1,,37,3,zach ertz,,1,curve,,False,False,0,False,True,1,1,,,0.0,0
117,Darren Waller,TE,16,MIA,33.0,101.6,6.77,-12.0,1,Questionable,21,2,darren waller,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
118,Tre Tucker,WR,47,LV,25.0,126.4,8.43,-10.4,1,,47,3,tre tucker,136.1,7,curve,,False,True,-6,False,False,1,1,,,0.0,0
119,Jalen Coker,WR,48,CAR,24.0,126.4,8.43,-10.4,7,,22,2,jalen coker,127.2,7,curve,,False,True,0,True,False,1,7,,,0.0,0
120,Amar Johnson,RB,42,LAC,23.0,127.9,8.82,-7.4,1,,1,1,amar johnson,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
121,Colby Parkinson,TE,17,LA,27.0,95.0,6.33,-18.6,1,,45,3,colby parkinson,,1,curve,,False,False,0,False,True,1,1,,,0.0,0
122,Tory Horton,WR,49,SEA,23.0,129.6,8.64,-7.2,1,,8,1,tory horton,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
123,Theo Johnson,TE,18,NYG,25.0,110.6,7.37,-3.0,1,,26,2,theo johnson,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
124,T.J. Hockenson,TE,19,MIN,29.0,102.0,6.8,-11.6,1,,40,3,tj hockenson,,1,curve,,False,False,0,False,True,1,1,,,0.0,0
125,Matthew Stafford,QB,15,LA,38.0,233.6,15.07,-22.6,1,,48,3,matthew stafford,79.6,5,yahoo,,False,True,-4,False,False,1,1,15.0,13.0,-2.0,0
126,C.J. Stroud,QB,16,HOU,24.0,236.1,15.23,-20.1,1,,46,3,cj stroud,172.8,2,yahoo,,False,True,-1,False,False,1,1,,,0.0,0
127,Kyler Murray,QB,17,ARI,29.0,244.1,15.75,-12.1,1,,30,3,kyler murray,147.3,3,yahoo,,False,True,-2,False,False,1,1,14.0,17.0,0.0,0
128,Baker Mayfield,QB,18,TB,31.0,245.8,15.86,-10.4,1,,51,3,baker mayfield,132.4,2,yahoo,,False,True,-1,False,False,1,1,18.0,18.0,0.0,0
129,Dak Prescott,QB,19,DAL,33.0,248.9,16.06,-7.3,1,,42,3,dak prescott,67.6,9,yahoo,,False,True,-8,False,False,1,1,7.0,7.0,0.0,0
130,Justin Herbert,QB,20,LAC,28.0,256.2,16.53,0.0,1,,46,3,justin herbert,104.0,10,yahoo,,False,True,-9,False,False,1,1,8.0,9.0,0.0,0
131,Theo Wease Jr.,WR,50,MIA,25.0,117.2,7.81,-19.6,7,,3,1,theo wease,128.5,7,curve,,False,True,0,True,True,1,7,,,0.0,0
132,Chimere Dike,WR,51,TEN,24.0,117.9,7.86,-18.9,1,,17,1,chimere dike,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
133,Bhayshul Tuten,RB,43,JAX,23.0,118.5,8.17,-16.8,27,,15,1,bhayshul tuten,51.5,21,yahoo,,False,True,6,True,False,1,21,22.0,25.0,11.0,6
134,Calvin Ridley,WR,52,TEN,31.0,119.0,7.93,-17.8,1,,41,3,calvin ridley,126.3,7,curve,,False,True,-6,False,False,1,1,,,0.0,0
135,Ulysses Bentley IV,RB,44,IND,,119.8,8.26,-15.5,1,,1,1,ulysses bentley iv,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
136,Elic Ayomanor,WR,53,TEN,23.0,120.2,8.01,-16.6,1,,16,1,elic ayomanor,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
137,Isiah Pacheco,RB,45,KC,27.0,120.4,8.3,-14.9,1,Questionable,34,3,isiah pacheco,144.2,6,curve,,False,True,-5,False,False,1,1,,,0.0,0
138,Keenan Allen,WR,54,LAC,33.0,120.9,8.06,-15.9,1,,45,3,keenan allen,,1,curve,,False,False,0,False,True,1,1,,,0.0,0
139,Jawhar Jordan,RB,46,HOU,26.0,120.9,8.34,-14.4,1,Questionable,4,1,jawhar jordan,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
140,Ricky Pearsall,WR,55,SF,,121.5,8.1,-15.3,10,,20,2,ricky pearsall,110.2,10,curve,,False,True,0,True,False,1,10,,,0.0,0
141,Jerry Jeudy,WR,56,CLE,27.0,121.6,8.11,-15.2,1,,50,3,jerry jeudy,134.4,7,curve,,False,True,-6,False,False,1,1,,,0.0,0
142,Raheim Sanders,RB,47,CLE,24.0,121.8,8.4,-13.5,1,,4,1,raheim sanders,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
143,Jaydon Blue,RB,48,DAL,22.0,122.4,8.44,-12.9,1,,5,1,jaydon blue,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
144,Jacardia Wright,RB,49,SEA,25.0,122.7,8.46,-12.6,1,,1,1,jacardia wright,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
145,Cade Otton,TE,20,TB,27.0,106.2,7.08,-7.4,1,,46,3,cade otton,,1,curve,,False,False,0,False,True,1,1,,,0.0,0
146,Josh Williams,RB,50,TB,25.0,112.7,7.77,-22.6,1,,2,1,josh williams,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
147,Brenton Strange,TE,21,JAX,25.0,113.0,7.53,-0.6,1,,33,3,brenton strange,156.5,5,curve,,False,True,-4,False,False,1,1,19.0,18.0,-2.0,0
148,Mason Taylor,TE,22,NYJ,22.0,98.1,6.54,-15.5,1,,13,1,mason taylor,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
149,Audric Estimé,RB,51,NO,,113.7,7.84,-21.6,1,,18,2,audric estimé,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
150,AJ Barner,TE,23,SEA,24.0,111.9,7.46,-1.7,1,,32,2,aj barner,,1,curve,,False,False,0,False,True,1,1,20.0,24.0,0.0,0
151,Deebo Samuel Sr.,WR,57,WAS,30.0,136.4,9.09,-0.4,1,,46,3,deebo samuel,87.4,18,curve,,False,True,-17,False,False,1,1,,,0.0,0
152,Travis Kelce,TE,24,KC,36.0,112.0,7.47,-1.6,1,,48,3,travis kelce,128.1,6,yahoo,,False,True,-5,False,False,1,1,13.0,10.0,-1.0,0
153,Dalton Schultz,TE,25,HOU,30.0,106.5,7.1,-7.1,1,,49,3,dalton schultz,,1,curve,,False,False,0,False,True,1,1,17.0,23.0,0.0,0
154,Aaron Jones,RB,52,MIN,31.0,115.6,7.97,-19.7,1,,40,3,aaron jones,95.2,5,yahoo,,False,True,-4,False,False,1,1,38.0,41.0,0.0,0
155,Nate Carter,RB,53,ATL,,115.9,7.99,-19.4,1,,2,1,nate carter,,1,curve,,False,False,0,True,True,1,1,,,0.0,0
156,Juwan Johnson,TE,26,NO,29.0,112.4,7.49,-1.2,3,,45,3,juwan johnson,153.8,5,curve,,False,True,-2,False,False,1,1,15.0,21.0,3.0,2
