position,expert_rank,name,adp_pos_rank,adp,note
RB,5,Jonathan Taylor,4,7.6,
RB,6,Chase Brown,9,15.8,
RB,7,Ashton Jeanty,7,14.0,
RB,8,Omarion Hampton,10,17.2,
RB,9,Kenneth Walker III,11,18.0,
RB,10,De'Von Achane,8,14.0,
RB,11,Saquon Barkley,6,13.5,
RB,12,Derrick Henry,12,19.9,
RB,13,Josh Jacobs,17,35.4,
RB,14,Breece Hall,15,34.0,inj
RB,15,Jeremiyah Love,13,28.4,inj
RB,16,Javonte Williams,16,34.5,
RB,17,Kyren Williams,14,29.1,
RB,18,Cam Skattebo,18,41.7,
RB,19,David Montgomery,22,49.9,
RB,20,D'Andre Swift,21,49.7,
RB,21,Travis Etienne,19,44.2,
RB,22,Bhayshul Tuten,25,58.9,
RB,23,Quinshon Judkins,23,53.5,
RB,24,Bucky Irving,20,47.4,
RB,25,Jadarian Price,26,64.8,
RB,26,Jaylen Warren,27,71.8,
RB,27,J.K. Dobbins,28,93.9,
RB,28,Rhamondre Stevenson,29,79.4,
RB,29,Kenneth Gainwell,39,107.3,
RB,30,TreVeyon Henderson,24,58.9,
RB,31,Tony Pollard,34,91.0,
RB,32,Jonathon Brooks,33,94.9,
RB,33,Chuba Hubbard,31,85.5,inj
RB,34,Rico Dowdle,30,84.9,
RB,35,Blake Corum,35,100.0,
RB,36,RJ Harvey,32,87.8,
RB,37,Rachaad White,40,115.4,
RB,38,Aaron Jones,41,117.5,
RB,39,Jacory Croskey-Merritt,37,104.5,
RB,40,Chris Rodriguez Jr.,42,133.3,
RB,41,Jordan Mason,38,105.3,
RB,42,Kyle Monangai,36,102.9,inj
RB,43,Alvin Kamara,46,140.0,
RB,44,Tank Bigsby,52,152.2,
RB,45,Dylan Sampson,54,159.9,
WR,1,Ja'Marr Chase,1,3.1,
WR,2,Puka Nacua,2,4.6,
WR,3,Amon-Ra St. Brown,4,7.3,
WR,4,Jaxon Smith-Njigba,3,5.9,
WR,5,Justin Jefferson,6,11.8,
WR,6,Drake London,7,14.6,
WR,7,CeeDee Lamb,5,10.3,
WR,8,A.J. Brown,8,15.9,
WR,9,Chris Olave,13,30.6,
WR,10,Nico Collins,10,23.6,
WR,11,Malik Nabers,11,27.8,inj
WR,12,DeVonta Smith,14,33.1,
WR,13,George Pickens,9,23.2,
WR,14,Zay Flowers,16,37.2,
WR,15,Tee Higgins,15,37.0,
WR,16,Ladd McConkey,17,38.5,
WR,17,Garrett Wilson,21,46.1,
WR,18,Rashee Rice,12,29.2,inj
WR,19,Jaylen Waddle,20,45.3,inj
WR,20,Emeka Egbuka,18,44.3,inj
WR,21,Terry McLaurin,22,52.4,
WR,22,Mike Evans,19,59.2,
WR,23,Luther Burden III,24,54.7,inj
WR,24,Tetairoa McMillan,23,39.6,
WR,25,Davante Adams,25,55.1,
WR,26,Christian Watson,29,65.1,
WR,27,Parker Washington,31,70.5,inj
WR,28,Rome Odunze,26,60.6,
WR,29,DJ Moore,28,62.5,
WR,30,Jameson Williams,27,59.5,
WR,31,Chris Godwin,36,87.1,
WR,32,Michael Wilson,37,88.4,
WR,33,Marvin Harrison Jr.,33,75.4,
WR,34,Carnell Tate,30,70.0,
WR,35,Josh Downs,39,93.8,
WR,36,Michael Pittman,43,100.3,inj
WR,37,Brian Thomas Jr.,32,73.9,
WR,38,Stefon Diggs,40,100.7,
WR,39,Quentin Johnston,41,99.2,
WR,40,Courtland Sutton,35,84.4,
WR,41,Romeo Doubs,51,126.7,
WR,42,DK Metcalf,34,79.4,
WR,43,Wan'Dale Robinson,47,109.1,
WR,44,KC Concepcion,50,119.7,
WR,45,Makai Lemon,42,96.5,inj
